,0,1,2,observation
0,0.0,0.0,0.0,1
1,0.07579614427793768,0.15523210791657333,0.3346310763211537,1
2,0.04559943740444978,0.24672895805934497,0.09679590106311951,1
3,0.05348713963405439,0.2412980803554833,0.12011820643332971,1
4,0.05245104157051015,0.1506958569973449,0.07032588098623298,1
5,0.007560401213606721,0.13850141539584743,0.007867635387052293,1
6,0.056286725724793,0.2478324414205507,0.1413970014357288,1
7,0.020258489947557645,0.1618135384189118,0.033554564813140654,1
8,0.004128523817065366,0.0050626823340328185,0.006606444572522816,1
9,0.07380001224052166,0.15052944049621855,0.3391899908127967,1
10,0.045381621819134216,0.24453361149024064,0.09505673065082701,1
11,0.05309352906197525,0.24084683487018824,0.11869103798911294,1
12,0.049164652702793556,0.14692481670588625,0.06701455345765575,1
13,0.005459489937240584,0.1382106071098929,0.007204278524626429,1
14,0.05588825467088256,0.2436517935904444,0.12993875170592387,1
15,0.020713254285815778,0.1596587955708462,0.03186055738789986,1
16,0.005174528278128751,0.005530010087393279,0.007856335819457041,1
17,0.07555680191410173,0.15254825733280333,0.3321619271681223,1
18,0.04544713479423743,0.24014837761345098,0.09536502608795526,1
19,0.052295497566497776,0.24062690673464815,0.11641235752308612,1
20,0.051344569477705326,0.1497140750330969,0.06922236150350979,1
21,0.006619999543683395,0.1406995100634397,0.00782941487119321,1
22,0.05521240604500894,0.2576258483888771,0.12953301137384693,1
23,0.019526666785909013,0.15764703310041867,0.031758341026810084,1
24,0.004778574267427213,0.005776560917820837,0.00567181057717324,1
25,0.07478956220325567,0.13572507438575618,0.343721984389914,1
26,0.0444773148000812,0.24413284875318642,0.09290310522992144,1
27,0.0519888179932533,0.23735461772212316,0.11436440776021967,1
28,0.04693747951118977,0.1470894608586017,0.06473101351507592,1
29,0.006953992942773294,0.14362215965720973,0.00975023979892274,1
30,0.0552868793186662,0.2591888580873182,0.12993819713547883,1
31,0.01908043626548206,0.1564260273691402,0.02933634737647936,1
32,0.003921259165090257,0.007740802111390976,0.005368302680161542,1
33,0.07231026192297856,0.13300550489695648,0.3589530262573209,1
34,0.044778610101274305,0.24181775986204482,0.09321644484568498,1
35,0.052287780608761804,0.23476371980154428,0.11551802254237564,1
36,0.04896869166169852,0.1481619785834891,0.06672499672127179,1
37,0.0073927873223768046,0.14503858209005618,0.008132369794504485,1
38,0.05684725886571682,0.2589640440670005,0.13547775419674118,1
39,0.019322697174899546,0.15500134706068866,0.03082276016839468,1
40,0.0018552221779499238,0.004093601899048464,0.004230819756320414,1
41,0.07149438365606722,0.13734408581478377,0.36359255478301605,1
42,0.044655335691030626,0.24310511700749152,0.09278152713250858,1
43,0.051497866911579385,0.23849126499730444,0.11518869707003021,1
44,0.049987768721855466,0.1487836090667848,0.06779206250964596,1
45,0.007531877703354647,0.1457905293684235,0.009831099428168216,1
46,0.056733105809234505,0.26087042333830135,0.13576842845179626,1
47,0.018968298728214542,0.15447434659975728,0.03123004615658235,1
48,0.0043257447624968325,0.0062780666409259925,0.006677935865311785,1
49,0.06963705004582117,0.1399024890999898,0.3670411169486312,1
50,0.04585765668735884,0.24406001238969927,0.09711071084735251,1
51,0.05201138203644634,0.24046773927445753,0.11638355185948375,1
52,0.04813658722621125,0.14745051430079914,0.06589112888548915,1
53,0.007901595449361774,0.1461801728238492,0.009521140983552777,1
54,0.057437519516989735,0.2621369845844782,0.13829943254816493,1
